id,n_spikes,responding,comment
/Gollum/s4gollum01/el2/cell1,1132,True,"Clean"
/Gollum/s4gollum01/el3/cell1,620,True,"Clean"
/Gollum/s4gollum01/el4/cell1,10674,False,"Clean"
/Gollum/s5gollum01/el2/cell2,2374,False,"NVClean"
/Gollum/s5gollum01/el3/cell1,12333,True,"NVClean"
/Gollum/s5gollum01/el3/cell2,13619,True,"Clean"
/Gollum/s5gollum02/el2/cell1,4594,True,"Contaminated"
/Gollum/s5gollum02/el3/cell1,15185,True,"Clean"
/Gollum/s5gollum03/el2/cell1,1109,True,"NVClean"

/Gollum/s39gollum01/el1/cell1,1772,True,"Clean"
/Gollum/s39gollum01/el4/cell1,1875,True,"Contaminated"
/Gollum/s39gollum02/el2/cell1,2829,True,"Contaminated"
/Gollum/s39gollum02/el4/cell1,2217,True,"Contaminated"
/Gollum/s39gollum02/el5/cell1,4620,True,"Contaminated"
/Gollum/s39gollum02/el5/cell2,3541,True,"Clean"
/Gollum/s39gollum03/el1/cell1,1726,True,"NVClean"
/Gollum/s39gollum03/el1/cell2,25177,True,"Contaminated"
/Gollum/s39gollum03/el4/cell1,7597,True,"Contaminated"
/Gollum/s39gollum03/el4/cell2,13369,True,"Contaminated"
/Gollum/s39gollum04/el4/cell1,14933,True,"Clean,Suspicious"
/Gollum/s39gollum05/el4/cell3,991,True,"Clean"
/Gollum/s39gollum06/el4/cell1,27798,True,"Perfect"
/Gollum/s39gollum07/el5/cell1,1066,True,"?"
/Gollum/s40gollum00/el1/cell1,1954,True,"Contaminated"
/Gollum/s40gollum01/el2/cell1,540,True,"Clean"
/Gollum/s40gollum01/el5/cell3,3833,True,"NVClean"
/Gollum/s40gollum01/el5/cell1,4649,False,"Contaminated"

/Gollum/s40gollum02/el3/cell1,3449,True,"Clean"
/Gollum/s40gollum03/el1/cell1,4415,True,"Clean"
/Gollum/s40gollum04/el2/cell1,12687,True,"Suspicious in the begining, clean after"
/Gollum/s40gollum05/el3/cell1,12038,True,"NVClean, maybe re-sort later"

/Gollum/s40gollum06/el2/cell1,14202,True,"Clean, Good ISIH"
/Gollum/s40gollum06/el2/cell2,401,True,"Clean, Few spikes"
/Gollum/s40gollum06/el3/cell1,363,True,"Strange"
/Gollum/s40gollum06/el3/cell2,12339,True,"Suspicious"
/Gollum/s40gollum07/el1/cell1,13963,True,"Clean, 0.2ms random shift, odd behaviour"
/Gollum/s40gollum07/el2/cell1,14897,True,"NVClean, but nice ISIH"
/Gollum/s40gollum08/el1/cell1,10624,True,"Clean, same as 40gollum07/el1/cell1"
/Gollum/s40gollum08/el2/cell1,13794,True,"Clean, same as 40gollumn07/el2 but wierd"
/Gollum/s40gollum08/el5/cell1,8162,True,"NVClean, strange ISIH"
/Gollum/s40gollum09/el1/cell1,15047,True,"Clean, same as 40gollum07/el1/cell1"
/Gollum/s40gollum09/el5/cell1,4939,True,"Suspicious, may be actually 2 cells"
/Gollum/s40gollum10/el1/cell1,9087,True,"NVClean, needs additional cleaning based on ISIH"
/Gollum/s40gollum10/el3/cell1,2635,True,"Clean"
/Gollum/s40gollum10/el5/cell12,7242,True,"merged 1+2, Clean"
/Gollum/s40gollum11/el1/cell1,8341,True,"Clean"
/Gollum/s40gollum11/el5/cell1,117,True,"Clean - shifted part of cell2"
/Gollum/s40gollum11/el5/cell2,3527,True,"Clean, wierd-looking raster"
/Gollum/s41gollum00/el4/cell1,3370,True,"NVClean, weekly responding"
/Gollum/s41gollum01/el3/cell1,5614,True,"Clean, shifted cell1/part 1"
/Gollum/s41gollum01/el3/cell2,5560,True,"Clean, shifted cell1/part 2"
/Gollum/s41gollum01/el3/cell3,10710,True,"Clean, unusual responding"
/Gollum/s41gollum01/el5/cell1,7785,True,"Contaminated"
/Gollum/s41gollum03/el3/cell1,6150,True,"Clean, but might be actually two"
/Gollum/s41gollum04/el3/cell1,19755,True,"Clean, same as /Gollum/s41gollum03/el3/cell1"
/Gollum/s41gollum04/el5/cell1,8771,True,"Clean, many spikes missing, truncated"
/Gollum/s42gollum00/el2/cell1,654,True,"Clean, few spikes, ampl. attenuation with t"
/Gollum/s42gollum00/el4/cell1,876,True,"Clean, few spikes"
/Gollum/s42gollum04/el1/cell1,6551,True,"Clean"
/Gollum/s42gollum04/el2/cell1,3837,False,"Clean"
/Gollum/s42gollum04/el4/cell1,5923,True,"NVClean, weak response"
/Gollum/s42gollum04/el5/cell1,22094,True,"Contaminated, dirty, tough"
/Gollum/s42gollum05/el1/cell1,6930,True,"NVClean, manual sorting"
/Gollum/s42gollum05/el2/cell1,18258,True,"Clean, changes shape over t, truncated"

/Gollum/s42gollum07/el1/cell1,7241,True,"NVClean, only ~200 seconds of spikes"
/Gollum/s42gollum07/el2/cell1,6698,True,"Clean, ~300 sec"
/Gollum/s42gollum07/el5/cell1,4538,True,"NVClean, truncated to [0.35, 0.72]"
/Gollum/s42gollum09/el2/cell1,8498,True,"Clean, very sharp"

/Gollum/s42gollum09/el3/cell1,2613,False,"Clean, useless"
